idx,disyllable,id,V1,V2,count
1121,ime,l060208,i,e,1
1122,saru,l051892,a,u,2
1123,musi,l090499,u,i,5
1124,tuwo,l052222,u,wo,1
1125,situ,l090218,i,u,1
1126,sanu,l051881,a,u,1
1127,ou,l051691,o,u,2
1128,kasa,l060051,a,a,1
1129,kaza,l050008b,a,a,2
1130,kisum,l030576a,i,u,1
1131,mutu,l004158,u,u,1
1132,waru,l031918a,a,u,1
1134,mama,l090708,a,a,3
1135,tomo,l090260,o,o,4
1136,saka,l030781a,a,a,1
1137,kosi,l090137,o,i,1
1138,swoma,l052046,wo,a,2
1139,bape,l050905,a,e,2
1140,tape,l031069a,a,e,1
1141,mika,l051444,i,a,5
1142,supa,l052031,u,a,1
1143,kane,l090077,a,e,1
1144,wabwi,l031915b,a,wi,1
1145,sade,l090166,a,e,1
1146,kuye,l030660a,u,ye,1
1147,sita,l090213,i,a,1
1148,neri,l080232,e,i,2
1149,puki,l031517b,u,i,1
1150,yane,l052390,a,e,1
1151,uke,l030241a,u,e,1
1152,uri,l030312,u,i,1
1153,nasa,l031281a,a,a,1
1154,siwa,l051979,i,a,1
1155,tatu,l052115,a,u,2
1156,kwopu,l090131,wo,u,1
1157,kusi,l090107,u,i,2
1158,mone,l051506,o,e,1
1159,kasu,l051240,a,u,1
1160,ari,l030125b,a,i,1
1161,mage,l031626b,a,e,1
1162,wara,l052313,a,a,1
1163,kumo,l052509,u,o,2
1164,mede,l031752b,e,e,2
1165,tika,l052131,i,a,1
1166,kizu,l051282,i,u,1
1167,omo,l007240b,o,o,1
1168,upa,l050029b,u,a,1
1169,twomi,l080125,wo,i,1
1170,moro,l007225,o,o,1
1171,puse,l090772,u,e,1
1172,twosa,l052163,wo,a,2
1173,side,l090441,i,e,1
1175,tado,l080285,a,o,1
1176,taki,l031000b,a,i,1
1177,aki,l052512,a,i,1
1178,kase,l051233,a,e,4
1179,nwopye,l051651,wo,ye,2
1180,simwi,l000058,i,wi,1
1181,zame,l030834b,a,e,1
1182,tomi,l052154,o,i,1
1183,tuda,l052179,u,a,1
1184,tobu,l090458,o,u,1
1185,udu,l090236,u,u,1
1186,kadwo,l090074,a,wo,1
1187,nuki,l090348,u,i,2
1188,tita,l052138,i,a,1
1189,miwo,l052579,i,wo,2
1190,makwi,l050276,a,wi,2
1191,aku,l050802,a,u,1
1192,ate,l090445,a,e,1
1193,kane,l090076,a,e,1
1194,woka,l060268,wo,a,1
1196,sidu,l080283,i,u,2
1197,ato,l050874,a,o,2
1198,zome,l030981b,o,e,2
1199,mori,l080213,o,i,1
1200,paga,l031404a,a,a,1
1202,kana,l090075,a,a,1
1203,yuge,l052433,u,e,1
1204,kiku,l090466,i,u,1
1205,aba,l050767,a,a,1
1206,saki,l030780b,a,i,1
1207,pata,l090327,a,a,1
1208,suma,l004120a,u,a,2
1209,kwoye,l030748a,wo,ye,1
1210,ine,l030185a,i,e,1
1211,kura,l007093,u,a,1
1212,wosi,l031946b,wo,i,1
1213,nakwi,l051576,a,wi,1
1214,tamu,l052087,a,u,1
1215,mipye,l090439,i,ye,1
1216,turi,l031187b,u,i,2
1217,tape,l052529,a,e,1
1218,iki,l030145b,i,i,2
1219,tume,l090403,u,e,2
1220,ase,l080053,a,e,1
1221,tuka,l090197,u,a,4
1222,nasi,l031279b,a,i,1
1223,pasi,l080028,a,i,1
1224,yomwi,l052413,o,wi,2
1225,neri,l031368a,e,i,1
1226,kami,l030524a,a,i,1
1227,paki,l031399b,a,i,1
1228,duki,l031135a,u,i,1
1229,kure,l080032,u,e,1
1230,sapi,l051888,a,i,1
1231,kyetu,l051390,ye,u,1
1232,osi,l080386,o,i,1
1233,kome,l090190,o,e,2
1234,yabu,l080037,a,u,1
1235,mure,l031741b,u,e,1
1236,tawa,l007189,a,a,1
1237,miwa,l050066,i,a,1
1238,gwosi,l030707b,wo,i,1
1239,sapa,l004032a,a,a,1
1240,maso,l007109,a,o,1
1241,mari,l080136,a,i,1
1242,tuti,l090391,u,i,1
1243,seta,l090283,e,a,2
1244,pupo,l051831,u,o,1
1245,gara,l090089,a,a,1
1246,ukwo,l052243,u,wo,1
1247,usa,l080135,u,a,1
1248,pika,l051753,i,a,1
1249,wina,l052335,wi,a,1
1250,sone,l051991,o,e,1
1251,nawi,l051602,a,wi,2
1252,yake,l031794b,a,e,1
1253,mopi,l051510,o,i,1
1254,kena,l051256,e,a,1
1255,mima,l051454,i,a,1
1256,ika,l080241,i,a,1
